"station","year","flo_start","flowering"
"LIT","1952",NA,104
"LIT","1953",NA,NA
"LIT","1954",NA,NA
"LIT","1955",NA,NA
"LIT","1956",NA,NA
"LIT","1957",NA,NA
"LIT","1958",NA,NA
"LIT","1959",NA,NA
"LIT","1960",NA,NA
"LIT","1961",NA,NA
"LIT","1962",NA,NA
"LIT","1963",NA,NA
"LIT","1964",NA,NA
"LIT","1965",NA,NA
"LIT","1966",NA,NA
"LIT","1967",NA,NA
"LIT","1968",NA,NA
"LIT","1969",NA,NA
"LIT","1970",NA,NA
"LIT","1971",NA,NA
"LIT","1972",NA,NA
"LIT","1973",NA,NA
"LIT","1974",NA,NA
"LIT","1975",NA,NA
"LIT","1976",NA,NA
"LIT","1977",NA,NA
"LIT","1978",NA,NA
"LIT","1979",NA,NA
"LIT","1980",NA,NA
"LIT","1981",NA,NA
"LIT","1982",NA,NA
"LIT","1983",NA,NA
"LIT","1984",NA,NA
"LIT","1985",NA,NA
"LIT","1986",NA,123
"LIT","1987",NA,114
"LIT","1988",NA,115
"LIT","1989",NA,90
"LIT","1990",NA,84
"LIT","1991",NA,98
"LIT","1992",NA,112
"LIT","1993",NA,110
"LIT","1994",NA,90
"LIT","1995",NA,102
"LIT","1996",110,112
"LIT","1997",80,85
"LIT","1998",93,96
"LIT","1999",96,99
"LIT","2000",101,106
"LIT","2001",92,100
"LIT","2002",80,91
"LIT","2003",94,98
"LIT","2004",96,103
"LIT","2005",93,97
"LIT","2006",111,113
"LIT","2007",93,99
"LIT","2008",96,104
"LIT","2009",99,102
"LIT","2010",100,104
"LIT","2011",90,93
"LIT","2012",88,90
"LIT","2013",107,108
"LIT","2014",81,87
"LIT","2015",99,101
"LIT","2016",95,98
"LIT","2017",83,86
"LIT","2018",98,100
"LIT","2019",80,83
"LIT","2020",76,79
"LIT","2021",84,87
