"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2868,131.982939951486,20.4097724045499,4.84338698851606,1,1951,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,4.87262284190806,2.75145155140349,3.75804339426205
2208,116.844322572043,103.09855597926,7.09451597045747,1,1952,50.5167,8.81667,"50.5167 8.81667","1950-1970",106,7.32311459041399,3.90935475132879,5.59177765279181
2244,108.921099446211,55.7903069245163,6.48854824206642,1,1953,50.5167,8.81667,"50.5167 8.81667","1950-1970",92,7.74352441708267,5.51435471545424,6.9073911499556
2520,121.314549738885,41.9602939727019,6.69483856003611,1,1954,50.5167,8.81667,"50.5167 8.81667","1950-1970",119,6.10598347007801,4.08048377976182,3.12065210416103
1668,100.261684284006,76.2145418351884,7.39774177013145,1,1955,50.5167,8.81667,"50.5167 8.81667","1950-1970",120,4.26065564247184,-0.313387089769446,4.53833323189368
2088,102.660108554128,49.6635490916754,6.26322566645761,1,1956,50.5167,8.81667,"50.5167 8.81667","1950-1970",115,5.1590982453409,5.64564503510032,6.96956506160938
2808,133.017964876968,81.5857013530484,8.54193529294383,1,1957,50.5167,8.81667,"50.5167 8.81667","1950-1970",96,7.85024572617268,0.194516124684484,8.03847808119557
2184,107.470385906141,36.8004096270634,4.77725795773609,1,1958,50.5167,8.81667,"50.5167 8.81667","1950-1970",112,2.66237698967156,1.31612900284029,6.84311095815566
2496,116.518933360595,70.9306129312714,7.52774176722573,1,1959,50.5167,8.81667,"50.5167 8.81667","1950-1970",96,8.64360636417739,3.57741927487716,7.89521721483249
2592,121.594775450421,45.2503162227472,6.07435470293727,1,1960,50.5167,8.81667,"50.5167 8.81667","1950-1970",97,6.8583605024414,4.76161279679546,4.28097816518224
2124,113.506425807031,48.6966925435357,6.88016113653899,1,1961,50.5167,8.81667,"50.5167 8.81667","1950-1970",94,8.56016374309166,1.92241931186929,2.72911105011072
1860,103.452181066398,73.1700034568404,6.66096759305125,1,1962,50.5167,8.81667,"50.5167 8.81667","1950-1970",113,4.32213105093382,5.77741922570332,4.6326085921053
1824,89.9689087203636,53.4295088199748,6.40903211481148,1,1963,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,5.80893429638971,6.19516115184993,5.83989117381608
2100,109.460944376628,58.0326566841245,6.24870953774981,1,1964,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,4.89360644799642,2.15209672609044,4.68977767295308
2184,113.629139536232,52.4661209746474,7.32677402978222,1,1965,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,4.99204906874687,5.50306439312596,3.80304339325622
2208,117.804877211163,44.0300210655823,5.68338696974059,1,1966,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,6.56524575489466,4.24790313085842,4.15380425498132
2520,118.692686360018,29.5893376870603,5.68370955037854,1,1967,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,6.14704904293061,4.39661280495385,6.51066652114193
1836,99.7576650213732,52.8188706978481,6.3772579219733,1,1968,50.5167,8.81667,"50.5167 8.81667","1950-1970",106,6.87319656768356,2.82725800132199,4.275978165294
