"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
1,"1950-1970",5.91391790060052,2.66762587871103,0.0889979376694016,1.6332868329571,106.35,68.45,0.00617705449291771,8.27345151674922,2190.6,54.4956215445142,-3.94189239225644,0.749852004752956,-5.20251702947872,-2.68126775503415,-0.192598971103305,0.0423689819076069,-0.263828203149368,-0.121369739057241,6.36054018041149,0.96515527827103,0.982423166599317,0.824812681542723
1,"1990-2010",7.0144096792813,1.04393785740453,0.0240339009411887,1.02173277201259,102.65,31.9236842105263,0.00305807300705883,5.65010479641982,2414.4,54.1623719797773,-3.08805097538379,1.08125449230936,-4.90581773932212,-1.27028421144546,-0.195842909952046,0.0702715098707805,-0.313980883947462,-0.077704935956631,6.5818788851416,1.10220224076277,1.0498582003122,0.822141374762596
1,"1970-1990",5.95649167014072,1.10175550004825,0.0293492445239742,1.04964541634223,109.25,142.934210526316,0.0111908325829462,11.9555096305559,2418,62.653413193348,-6.55628694835014,2.19530117550051,-10.246949546326,-2.86562435037424,-0.365219185223617,0.117358372380142,-0.562517925066896,-0.167920445380338,6.76072565533762,2.679234694567,1.63683679533636,0.694044509903958
2,"1950-1970",7.38889327746831,2.03315801000327,0.0412567956105847,1.42588849844694,106.7,57.1684210526316,0.00505193077344213,7.56098016480876,2261.4,82.2733147499795,-4.42585783393588,0.688388771434484,-5.58315265979074,-3.26856300808102,-0.286999878292693,0.0471887145769875,-0.366331874229944,-0.207667882355443,7.77484660041218,0.74555667973033,0.863456240773283,0.750511820179835
2,"1990-2010",8.53457767808978,0.787276731998602,0.0112138434737706,0.887286161279777,98.5,31.4210526315789,0.00321666528945928,5.60544847729233,2376,82.5379102256048,-3.06463477351734,1.30211534010389,-5.2537049738175,-0.87556457321718,-0.270490900853084,0.10895523539646,-0.453662584364661,-0.0873192173415062,7.74594337525177,0.631769450576366,0.79483926084232,0.763004842657795
2,"1970-1990",7.5584957326938,0.874083347730757,0.0147846166479657,0.934924247054678,104.75,75.1447368421053,0.00728795906772439,8.66860639561546,2451.6,89.8814498207452,-7.43144459343011,1.30689183110773,-9.62854486126459,-5.23434432559562,-0.556384201355177,0.100934153151551,-0.726071125432858,-0.386697277277495,7.99505627290947,0.93476913033316,0.966834593057758,0.573278179305922
3,"1950-1970",6.29574166255789,2.36712237291163,0.0696899679969525,1.53854553813387,107.15,119.502631578947,0.0110097623615578,10.9317259194945,2146.2,62.7516158114399,-6.56457783304979,0.640774995006021,-7.64182606403465,-5.48732960206492,-0.347504776379408,0.0454743253323291,-0.42395460182714,-0.271054950931676,6.72190307556021,0.409883870717785,0.640221735586808,0.70644863965477
3,"1990-2010",7.2184137730821,0.716034199221062,0.0147241872559503,0.846188040107553,103.05,32.6815789473684,0.00313458094427517,5.71678047045436,2352.6,70.0991128334083,-3.81216478868674,1.31465844482889,-6.02232201248403,-1.60200756488945,-0.26377587459922,0.08922779998742,-0.41378249227352,-0.113769256924921,7.1535966142982,1.27079581947119,1.12729579945602,0.76814568132401
3,"1970-1990",6.17079904239976,1.32595690820343,0.0335141795939971,1.1515020226658,107.85,77.2921052631579,0.00723820649511045,8.79159287405632,2307.6,69.6176306460718,-5.94270776469934,1.12979326778127,-7.84207619914417,-4.0433393302545,-0.355441708875346,0.0705673993412792,-0.474077121770759,-0.236806295979933,7.02991919770777,1.10080764699467,1.04919380811873,0.700863797067309
4,"1950-1970",4.90900398863586,2.6627164874787,0.154529987764179,1.63178322318827,108.7,87.0631578947368,0.00749652217316417,9.33076405739299,1776,51.0040201552436,-4.96930648926218,0.666796322014748,-6.09030085376739,-3.84831212475697,-0.182950585323218,0.0289067913265387,-0.231547659276876,-0.13435351136956,5.85991115934336,1.09672595041116,1.04724684311349,0.832809307723089
