"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
1,"1950-1970",5.52578676173494,2.75470957317307,0.0999760981407442,1.65973177747884,119.1,62.3052631578947,0.00456057935715606,7.89336830243558,2275.2,87.4464528806808,-2.65050225798589,0.930727392564429,-4.2152081921801,-1.08579632379168,-0.113246501481714,0.0426822411108347,-0.185002373807357,-0.041490629156072,7.81989498650205,1.94924207912256,1.39615259879519,0.892930524287921
1,"1990-2010",6.68853263738489,1.30266195384507,0.0305410902851885,1.14134217211363,113.9,28.9888888888889,0.00230410912998475,5.38413306753175,2596.8,90.4234388892616,-3.49694404623403,1.11942842262527,-5.50893255991759,-1.48495553255046,-0.196700395257764,0.0677789400765985,-0.318521894647558,-0.07487889586797,7.85166111482428,0.738968587904366,0.859632821560674,0.821436702780627
1,"1970-1990",5.77409413323402,1.35021630442301,0.0416357067111663,1.16198808273709,117.25,12.8289473684211,0.000945154956210388,3.58175199705689,2513.4,67.8917177236278,-2.18181171534303,0.513219643719402,-3.04461840663443,-1.31900502405163,-0.104679536028229,0.0255416665094238,-0.147619281302502,-0.0617397907539559,7.14425790482952,1.70302749219121,1.30500095486218,0.90061309039398
2,"1950-1970",4.50495891569976,2.88525489053843,0.19976918517826,1.69860380622982,114.55,86.9973684210526,0.00654094804130469,9.32723798458325,1824.6,61.7387979317216,-4.62718718525332,0.696879625476166,-5.79875653425162,-3.45561783625502,-0.153505488297251,0.0225814483498664,-0.19146861962659,-0.115542356967913,6.43062888852231,1.31616817573195,1.14724372987258,0.857696056894999
2,"1990-2010",5.97734412869103,0.992777945705659,0.0245369907887224,0.996382429444468,112.7,34.4555555555556,0.00289194301647651,5.86988548061677,2211.6,63.1828232216153,-4.8681378111289,1.17300042140973,-6.97641318338321,-2.75986243887459,-0.27973243295178,0.0703653921193194,-0.406202654578717,-0.153262211324843,6.50188695144569,0.930393218033572,0.964568928606749,0.755985991337015
2,"1970-1990",4.90927038207253,1.53488196217794,0.0672660872534718,1.23890353223241,116,67.1578947368421,0.00517306508736716,8.19499205227449,2005.2,55.2324462412011,-2.93589134198662,1.39711961885766,-5.28467937151097,-0.587103312462272,-0.11339252943157,0.0596502018411399,-0.213674336480945,-0.0131107223821944,6.26838695666482,1.230931863479,1.10947368760102,0.892800140994131
3,"1950-1970",5.5129711882509,2.96864199085392,0.115274293771957,1.72297475049808,113.55,70.8921052631579,0.00571069809115099,8.41974496425859,1920.6,73.7494265258918,-4.19068722512962,0.592473880286914,-5.18673333244973,-3.19464111780949,-0.181461128779634,0.030379033182711,-0.232533283608021,-0.130388973951248,7.07161274516294,0.883069797316517,0.939717934976511,0.834050665240579
3,"1990-2010",6.35584412023089,1.10511822682239,0.0289415801919587,1.05124603534206,113.4,24.2666666666667,0.00198220341890064,4.92612085384298,2274,59.7375246662299,-3.16075431851607,1.22311421490775,-5.35910099399731,-0.962407643034826,-0.163649998365283,0.0722049956377925,-0.293426604816915,-0.0338733919136522,6.58214501416792,0.857995204158209,0.926280305392601,0.849039134967317
3,"1970-1990",5.34609414280056,1.4117821108053,0.0501540673179739,1.18818437576216,116.4,53.2,0.00420700086741188,7.29383301152419,2151.6,68.9362379797482,-3.21497100566892,1.23258603921639,-5.28715100743384,-1.142791003904,-0.139194941911243,0.0598638814256418,-0.23983597951143,-0.0385539043110569,6.94465307058136,1.35987380764365,1.16613627318751,0.870058401077446
4,"1950-1970",5.17964742520946,2.6658685855464,0.141724219767973,1.63274878212982,114.35,53.0815789473684,0.00427092487038964,7.28571060002855,1762.2,70.9860232822661,-0.772266644130295,1.03588811796791,-2.51376506600408,0.969231777743491,0.0113234084487804,0.0408297567416541,-0.0573181327541124,0.0799649496516732,6.78597565477323,4.24432792098997,2.06017667227594,1.01138776090524
