"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo"
3036,132.341677913873,23.7321413279659,3.77758056072578,1,1951,50.5167,8.81667,"50.5167 8.81667","1950-1960",109
2472,123.201948199197,126.868327410681,8.33338691050848,1,1952,50.5167,8.81667,"50.5167 8.81667","1950-1960",106
2100,106.424837578008,13.638899460264,4.52387086662554,1,1953,50.5167,8.81667,"50.5167 8.81667","1950-1960",92
2568,123.685826897682,55.5899570373851,7.43209660807324,1,1954,50.5167,8.81667,"50.5167 8.81667","1950-1960",119
1752,101.983392461362,78.7961960088187,7.57532241132351,1,1955,50.5167,8.81667,"50.5167 8.81667","1950-1960",120
1980,101.718198696476,74.7494445743263,7.28290306302088,1,1956,50.5167,8.81667,"50.5167 8.81667","1950-1960",115
2688,127.63440560612,94.2311569271854,8.73225786933495,1,1957,50.5167,8.81667,"50.5167 8.81667","1950-1960",96
2100,106.313550269477,218.397669843382,11.8969352179537,1,1958,50.5167,8.81667,"50.5167 8.81667","1950-1960",112
2388,120.266229534345,154.295959614938,10.1998384816933,1,1959,50.5167,8.81667,"50.5167 8.81667","1950-1960",96
2664,125.686698253209,65.8330457519123,6.99032242439928,1,1960,50.5167,8.81667,"50.5167 8.81667","1950-1960",97
2424,126.015004751525,21.1560838434975,4.41483861099808,2,1951,50,8.71667,"50 8.71667","1950-1960",109
2052,108.055725722515,70.3651373786624,5.55951600476739,2,1952,50,8.71667,"50 8.71667","1950-1960",103
1920,101.570281806673,45.5273937895911,5.75887083902114,2,1953,50,8.71667,"50 8.71667","1950-1960",93
2232,115.114406476207,22.0352611196141,5.39967729866264,2,1954,50,8.71667,"50 8.71667","1950-1960",113
1620,95.0967590942319,69.0793421866774,6.728548236702,2,1955,50,8.71667,"50 8.71667","1950-1960",118
1800,96.4457181884139,39.711807315544,5.55870955317251,2,1956,50,8.71667,"50 8.71667","1950-1960",115
2520,122.421681642156,65.8899542814485,7.72516111765177,2,1957,50,8.71667,"50 8.71667","1950-1960",98
2016,103.203952662616,29.6517029930269,5.01080633961265,2,1958,50,8.71667,"50 8.71667","1950-1960",120
2484,115.536162556852,52.9401324779161,6.71612888214088,2,1959,50,8.71667,"50 8.71667","1950-1960",103
2460,112.93290641913,33.8871200726878,5.17483859401076,2,1960,50,8.71667,"50 8.71667","1950-1960",99
2580,129.351511719204,18.7428049461108,4.85177408510278,3,1951,48.7167,9.21667,"48.7167 9.21667","1950-1960",110
2208,114.397235310314,55.3125468330659,5.15645149764755,3,1952,48.7167,9.21667,"48.7167 9.21667","1950-1960",99
2100,107.129260462559,96.0008967806948,8.77354819099269,3,1953,48.7167,9.21667,"48.7167 9.21667","1950-1960",94
2304,117.191937533676,28.7461759522096,5.9153224484274,3,1954,48.7167,9.21667,"48.7167 9.21667","1950-1960",118
1680,98.9532113872198,34.1682100120709,5.74564503286515,3,1955,48.7167,9.21667,"48.7167 9.21667","1950-1960",118
1932,98.5635637443122,59.2952781204562,6.55870953082077,3,1956,48.7167,9.21667,"48.7167 9.21667","1950-1960",115
2640,127.727327425338,103.797776324697,8.54306432517666,3,1957,48.7167,9.21667,"48.7167 9.21667","1950-1960",86
2040,106.703379389918,89.423838741973,7.58016112089277,3,1958,48.7167,9.21667,"48.7167 9.21667","1950-1960",122
2388,114.387234892744,122.166529497573,9.16935463375863,3,1959,48.7167,9.21667,"48.7167 9.21667","1950-1960",95
2556,116.498695791267,65.0744390824255,7.13241919541671,3,1960,48.7167,9.21667,"48.7167 9.21667","1950-1960",98
2904,131.700949497467,31.014572780707,5.56725794007821,4,1951,48.8333,12.9667,"48.8333 12.9667","1950-1960",110
2364,118.501996918584,52.6843313420044,5.6095160036498,4,1952,48.8333,12.9667,"48.8333 12.9667","1950-1960",111
2196,109.314178377131,57.4059494395562,6.36645147060194,4,1953,48.8333,12.9667,"48.8333 12.9667","1950-1960",93
2496,122.069540859158,44.7425582072142,6.62403211000586,4,1954,48.8333,12.9667,"48.8333 12.9667","1950-1960",118
1692,99.7633324925181,33.4942392232754,5.95774180231796,4,1955,48.8333,12.9667,"48.8333 12.9667","1950-1960",122
2028,103.514046156356,68.2088381118107,7.00096758545166,4,1956,48.8333,12.9667,"48.8333 12.9667","1950-1960",116
2652,127.790514828691,87.562788201817,8.30774174979137,4,1957,48.8333,12.9667,"48.8333 12.9667","1950-1960",98
2136,106.12653097224,73.8709386799475,7.28983854673683,4,1958,48.8333,12.9667,"48.8333 12.9667","1950-1960",125
2568,120.279164480552,87.0614223050488,8.32612884615458,4,1959,48.8333,12.9667,"48.8333 12.9667","1950-1960",96
2664,125.225475559062,89.558714078414,8.20725788106962,4,1960,48.8333,12.9667,"48.8333 12.9667","1950-1960",102
2868,131.982939951486,20.4097724045499,4.84338698851606,5,1951,50.4167,10.3833,"50.4167 10.3833","1950-1960",110
2208,116.844322572043,103.09855597926,7.09451597045747,5,1952,50.4167,10.3833,"50.4167 10.3833","1950-1960",109
2244,108.921099446211,55.7903069245163,6.48854824206642,5,1953,50.4167,10.3833,"50.4167 10.3833","1950-1960",99
2520,121.314549738885,41.9602939727019,6.69483856003611,5,1954,50.4167,10.3833,"50.4167 10.3833","1950-1960",120
1668,100.261684284006,76.2145418351884,7.39774177013145,5,1955,50.4167,10.3833,"50.4167 10.3833","1950-1960",122
2088,102.660108554128,49.6635490916754,6.26322566645761,5,1956,50.4167,10.3833,"50.4167 10.3833","1950-1960",123
