"site","year","gddreq","leafout_date"
1,1,274.194952948508,158
1,2,238.769152952604,150
1,3,210.113775795816,152
1,4,200,144
1,5,200,141
1,6,208.94135666697,142
1,7,295.437838410697,157
1,8,216.115741453545,149
1,9,258.214640441629,153
1,10,249.67726954823,150
1,11,261.925272044548,161
1,12,320.309899545445,160
1,13,200,148
1,14,233.65839484403,152
1,15,256.507732527009,156
1,16,240.413517383484,158
1,17,200,145
1,18,213.701522032042,145
1,19,303.913865236124,160
1,20,232.300333660462,151
1,21,293.570843916519,158
1,22,249.18653758971,150
1,23,250.731336672118,156
1,24,261.665031159058,149
1,25,213.853710459956,149
1,26,200,138
1,27,280.740246366072,155
1,28,266.520595943294,152
1,29,237.643114325403,155
1,30,251.649577215807,154
2,1,274.235678377079,153
2,2,253.928958246922,152
2,3,224.017336209476,149
2,4,263.417014364031,155
2,5,266.442811512155,158
2,6,200,150
2,7,263.057477889261,154
2,8,220.137849464157,146
2,9,227.267634487251,142
2,10,200,149
2,11,200,142
2,12,200,140
2,13,200,142
2,14,200,148
2,15,200,140
2,16,200,151
2,17,200,143
2,18,200,139
2,19,200,147
2,20,234.362910470292,153
2,21,200,147
2,22,223.533729066004,150
2,23,205.408941468668,145
2,24,202.968728886589,146
2,25,200,147
2,26,270.414020015492,154
2,27,200,144
2,28,200.67473790002,148
2,29,200,146
2,30,200,145
3,1,245.516720946414,152
3,2,200,142
3,3,307.610689276514,156
3,4,258.213515998023,149
3,5,200,145
3,6,239.208786763296,152
3,7,232.840397642797,142
3,8,221.505028547264,151
3,9,200,147
3,10,203.121228533421,140
3,11,200,138
3,12,232.382661002123,152
3,13,200,145
3,14,212.407504956275,148
3,15,200,146
3,16,264.360633412286,157
3,17,267.299557663133,150
3,18,221.064425005209,156
3,19,274.843318057474,147
3,20,227.171209115136,153
3,21,213.023579915134,150
3,22,228.280395201391,156
3,23,281.141182167508,160
3,24,250.418960564225,151
3,25,248.145454840307,152
3,26,224.584669103079,147
3,27,271.34151795738,158
3,28,236.982901446045,152
3,29,275.495707683845,158
3,30,260.141973517822,155
4,1,276.912927371657,151
4,2,221.717983891642,151
4,3,200,151
4,4,215.29036628181,150
4,5,231.136663473946,151
4,6,303.957137927015,157
4,7,208.617890604852,148
4,8,219.339018782502,150
4,9,303.508931215071,158
4,10,249.519887279531,153
4,11,200,145
4,12,256.118358279339,152
4,13,200,152
4,14,200,146
4,15,210.965371104229,146
4,16,200,147
4,17,201.205590775498,147
4,18,262.956352635543,155
4,19,231.841786490926,154
4,20,214.195751863826,151
4,21,200,145
4,22,200,144
4,23,245.351228429994,149
4,24,200.561996842289,138
4,25,292.279329915467,155
4,26,288.574398729541,156
4,27,299.60500316688,166
4,28,200,143
4,29,200,142
4,30,210.189759321196,146
5,1,200,143
5,2,233.416225853425,145
5,3,248.6746206168,152
5,4,239.570825378706,153
5,5,262.438152652622,154
5,6,214.837398295449,148
5,7,267.11776688913,156
5,8,289.961093898682,157
5,9,200,147
5,10,238.483361886289,146
5,11,253.664043764032,148
5,12,273.933256691061,153
5,13,264.658838833888,159
5,14,200,146
5,15,243.188373564494,150
5,16,200,144
5,17,200,151
5,18,244.81241477861,149
5,19,200,146
5,20,233.652842527968,149
5,21,237.97005681569,152
5,22,301.97756411336,162
5,23,283.378363437616,151
5,24,200,145
5,25,200,145
5,26,200,143
5,27,205.594326992589,144
5,28,200,146
5,29,251.105589486808,156
5,30,236.746160229335,148
6,1,236.595737674437,151
6,2,200,139
6,3,261.660607709627,152
6,4,210.264000641988,147
6,5,207.022974928651,151
6,6,200,142
6,7,333.589691781054,162
6,8,200.009938874999,147
6,9,200,141
6,10,200.642062424146,141
6,11,200,148
6,12,200,148
6,13,337.419390892964,160
6,14,329.175825426593,161
6,15,200,142
6,16,201.563700383314,151
6,17,289.353436853429,156
6,18,209.373607176628,147
6,19,235.760509320259,151
6,20,232.295576447624,155
6,21,308.82877068354,161
6,22,200,147
6,23,238.802003675883,158
6,24,200,142
6,25,240.72008896082,156
6,26,200,145
6,27,200,147
6,28,232.039788579718,147
6,29,209.559765823647,143
6,30,217.838788862765,145
7,1,204.553784848024,144
7,2,238.911649640256,152
7,3,247.381821698699,151
7,4,200,140
7,5,269.263336363958,152
7,6,200,145
7,7,259.979336573856,159
7,8,215.506909737665,149
7,9,224.095025620483,149
7,10,214.460377076231,150
7,11,279.730047371615,152
7,12,235.422640242038,150
7,13,213.90678046186,146
7,14,256.962259097733,153
7,15,272.109679901017,155
7,16,210.683351008704,144
7,17,301.739519901517,158
7,18,215.355437281821,149
7,19,238.987387018766,159
7,20,220.547353725482,147
7,21,278.972980016683,161
7,22,255.813008715405,154
7,23,200,155
7,24,234.946104629995,151
7,25,237.576887012742,155
7,26,237.150498635294,150
7,27,200,149
7,28,200,148
7,29,224.571043638378,145
7,30,295.386180746522,157
8,1,261.232477888055,155
8,2,246.852905795815,157
8,3,232.865053165274,152
8,4,200,149
8,5,238.27990092247,153
8,6,200,145
8,7,200,142
8,8,278.924332706951,161
8,9,200,141
8,10,200,140
8,11,200,144
8,12,280.803373333143,161
8,13,213.568378197664,150
8,14,200,151
8,15,212.251196961072,139
8,16,200,148
8,17,216.22560122746,152
8,18,218.366265633955,148
8,19,228.274995786155,150
8,20,254.621971658315,152
8,21,242.263810292458,151
8,22,217.100959739963,147
8,23,252.531114276603,148
8,24,238.637804227334,151
8,25,281.637148650143,157
8,26,200,150
8,27,248.159572762676,144
8,28,210.610695978365,151
8,29,200,142
8,30,252.697630207662,148
9,1,200,151
9,2,200,146
9,3,248.649139298798,149
9,4,270.588847310451,151
9,5,217.185794847708,147
9,6,245.967661110614,148
9,7,250.786382537497,153
9,8,222.93528504849,152
9,9,231.538571741221,146
9,10,226.168760356529,147
9,11,225.897942139042,150
9,12,200,144
9,13,200,143
9,14,243.753867196997,149
9,15,200,145
9,16,338.810763953999,160
9,17,200,138
9,18,204.108963435786,143
9,19,250.27032631011,148
9,20,200,148
9,21,200,149
9,22,200,138
9,23,200,148
9,24,241.526352279722,149
9,25,221.74446779941,146
9,26,200,144
9,27,231.507086007919,147
9,28,200,149
9,29,231.236239479552,149
9,30,200,144
10,1,200,143
10,2,227.149328505714,143
10,3,238.100576659219,149
10,4,200,137
10,5,214.354188032907,146
10,6,200,146
10,7,262.612570919675,149
10,8,211.705560085392,145
10,9,203.124326707807,137
10,10,200,141
10,11,289.980780702011,150
10,12,264.5227384096,152
10,13,204.30077207804,149
10,14,236.57548766854,154
10,15,244.168812901747,153
10,16,215.646870590452,150
10,17,232.022109378315,145
10,18,200,145
10,19,200,142
10,20,216.867991890784,140
10,21,221.811006026807,154
10,22,221.754688922545,148
10,23,200,146
10,24,271.855342912849,155
10,25,200,151
10,26,200,149
10,27,265.118673378841,147
10,28,205.008869868344,139
10,29,268.975341776805,154
10,30,244.386453221852,149
11,1,246.151429505447,151
11,2,224.287295562177,150
11,3,253.827856499016,153
11,4,223.914529848329,147
11,5,272.938284636408,152
11,6,239.058147696378,143
11,7,202.739347924998,143
11,8,202.128080313354,146
11,9,325.719344301995,167
11,10,200,135
11,11,241.251664167823,150
11,12,212.082094377964,147
11,13,253.161634294411,154
11,14,216.731364827498,149
11,15,225.804424806762,150
11,16,216.562485791209,141
11,17,200,148
11,18,277.664273074916,161
11,19,221.613306773985,148
11,20,218.235785442537,147
11,21,200,145
11,22,221.413680741143,146
11,23,284.361255145025,158
11,24,218.633725470782,145
11,25,200,143
11,26,274.724905796909,157
11,27,204.413614086471,143
11,28,262.095951077207,148
11,29,200,144
11,30,222.896345373769,148
12,1,226.90068806578,147
12,2,200,147
12,3,284.271680916466,159
12,4,207.18196395277,148
12,5,237.422368583273,157
12,6,214.66222753715,148
12,7,266.765403816678,155
12,8,200,147
12,9,200.923763323103,144
12,10,200,143
12,11,254.914218992531,157
12,12,238.25813828044,149
12,13,209.801447212075,148
12,14,247.261191219391,148
12,15,250.833735600527,151
12,16,200,140
12,17,200,147
12,18,200,143
12,19,214.390671001378,150
12,20,222.842534985011,145
12,21,200,147
12,22,222.094111299643,142
12,23,201.978587808427,141
12,24,200,140
12,25,267.128083800528,159
12,26,237.989596167256,144
12,27,269.33948384068,157
12,28,203.142110152663,141
12,29,254.575602826448,152
12,30,242.490461173697,156
13,1,200,144
13,2,232.744348020948,152
13,3,347.904415518806,167
13,4,240.753819607632,147
13,5,231.643177533304,144
13,6,230.066718823583,155
13,7,262.359398622651,162
13,8,287.814726263635,152
13,9,254.024713325855,152
13,10,207.234069127244,150
13,11,200,143
13,12,200.576188264275,148
13,13,200,148
13,14,200,146
13,15,270.660509591903,153
13,16,236.578263352953,147
13,17,230.983301847131,145
13,18,294.217887580983,163
13,19,204.516849216941,147
13,20,200,141
13,21,231.188758318834,149
13,22,200,142
13,23,239.35228226219,150
13,24,284.900368769911,161
13,25,238.191668254903,153
13,26,325.514110577296,167
13,27,267.077882114783,146
13,28,230.803277078709,150
13,29,277.495023873064,160
13,30,241.318897400317,149
